elapsed,cwnd,bytes_acked,bytes_received,rcv_space
0.47029209137,48,12109,3365,28960
0.470410108566,19,2737,1656,28960
1.48617219925,48,12109,3365,28960
1.48630809784,27,7857,1896,28960
2.50271320343,48,12109,3365,28960
2.50284814835,35,12977,2136,28960
3.51990509033,10,-,14480,28960
3.5200650692,10,-,14480,29200
3.52020406723,10,-,14480,28960
3.52034211159,10,-,14480,28960
3.52049803734,10,-,14480,29200
3.5206360817,10,-,14480,28960
3.52077102661,10,-,14480,29200
3.52091121674,10,-,14480,28960
3.52106118202,48,12933,3365,28960
3.52119421959,43,18097,2376,28960
4.5382270813,10,-,43440,28960
4.53837418556,10,-,43440,29200
4.53851103783,10,-,43440,28960
4.53863811493,10,-,43440,28960
4.53875207901,10,-,43440,29200
4.53887319565,10,-,43440,28960
4.53900408745,10,-,43440,29200
4.53912115097,10,-,43440,28960
4.53925800323,48,12933,3365,28960
4.53937506676,53,25745,2616,28960
5.5565841198,10,-,43440,28960
5.55672001839,10,-,43440,29200
5.55684304237,10,-,43440,28960
5.55696320534,10,-,57920,40544
5.55708813667,10,-,66608,41992
5.55721521378,10,-,43440,28960
5.55734109879,10,-,43440,29200
5.55746507645,10,-,55024,28960
5.55758810043,48,12933,3365,28960
5.55770421028,63,33409,2856,28960
6.57406806946,10,-,101360,44888
6.5742161274,10,-,101360,37648
6.57435917854,10,-,101360,40544
6.57451105118,10,-,101360,40544
6.57465100288,10,-,101360,41992
6.57479906082,10,-,101360,28960
6.57494306564,10,-,101360,40544
6.57508802414,10,-,101360,40544
6.57523012161,48,12933,3365,28960
6.57536911964,73,41073,3096,28960
7.59284806252,10,-,173760,44888
7.59298920631,10,-,173760,49232
7.59312105179,10,-,173760,46336
7.59324622154,10,-,173760,46336
7.59337115288,10,-,173760,44888
7.59349107742,10,-,172312,57920
7.59360814095,10,-,173760,46336
7.59374308586,10,-,173760,46336
7.59384703636,10,-,-,-
7.59398508072,48,12933,3365,28960
7.59409618378,83,48753,3336,28960
8.61153411865,10,-,173760,44888
8.61166620255,10,-,173760,49232
8.61179113388,10,-,173760,46336
8.61190915108,10,-,173760,46336
8.61202502251,10,-,194032,78192
8.61215806007,10,-,173760,57920
8.61227202415,10,-,173760,46336
8.61239910126,10,-,173760,46336
8.61250400543,1,-,-,-
8.61262607574,48,12933,3365,28960
8.61274313927,93,56641,3576,28960
9.63053607941,10,-,256296,72400
9.63068199158,10,-,256296,72400
9.6308259964,10,-,254848,72400
9.63096308708,10,-,253400,72400
9.63109612465,10,-,254848,78192
9.63123703003,10,-,256296,72400
9.63137102127,10,-,256296,72400
9.63150000572,10,-,254848,76744
9.63161206245,1,-,-,-
9.63174009323,48,12933,3365,28960
9.63186216354,103,64545,3816,28960
10.6487932205,10,-,331592,107152
10.6489281654,10,-,318560,107152
10.6490550041,10,-,360552,107152
10.6491820812,10,-,357656,105704
10.6493060589,10,-,362000,98464
10.6494250298,10,-,273672,72400
10.6495471001,10,-,343176,108600
10.6496691704,10,-,359104,102808
10.6497921944,48,12933,3365,28960
10.6499340534,113,72465,4056,28960
11.6665830612,10,-,466256,130320
11.6667280197,10,-,367792,107152
11.6668691635,10,-,469152,124528
11.6670172215,10,-,480736,120184
11.6671540737,10,-,485080,124528
11.6673071384,10,-,369240,104256
11.6674530506,10,-,476392,127424
11.6675941944,10,-,490872,117288
11.6677381992,48,12933,3365,28960
11.6678731441,123,80161,4296,28960
12.684636116,10,-,514040,130320
12.6847832203,10,-,516936,127424
12.684907198,10,-,495216,124528
12.6850261688,10,-,612504,120184
12.6851429939,10,-,580648,150592
12.6852581501,10,-,521280,133216
12.6853721142,10,-,508248,127424
12.6854979992,10,-,584992,117288
12.6856281757,48,12933,3365,28960
12.6857430935,133,87841,4536,28960
13.7027711868,10,-,515488,130320
13.7029130459,10,-,516936,127424
13.7030391693,10,-,658840,124528
13.7031610012,10,-,671872,120184
13.7032780647,10,-,657392,150592
13.7034020424,10,-,521280,133216
13.7035222054,10,-,553136,127424
13.7036540508,10,-,671872,117288
13.7037830353,48,12933,3365,28960
13.7038991451,143,95537,4776,28960
14.7212171555,10,-,722552,130320
14.7213470936,10,-,724000,127424
14.7214782238,10,-,697936,124528
14.7215971947,10,-,680560,192584
14.7217321396,10,-,696488,150592
14.7218511105,10,-,673320,133216
14.7219920158,10,-,695040,127424
14.7221360207,10,-,689248,117288
14.7222590446,48,12933,3365,28960
14.7223792076,146,103249,5016,28960
15.7399561405,10,-,734136,130320
15.740085125,10,-,739928,127424
15.7402021885,10,-,697936,124528
15.7403302193,10,-,865904,192584
15.740445137,10,-,821016,227336
15.7405641079,10,-,748616,133216
15.7406830788,10,-,722552,127424
15.7407979965,10,-,807984,198376
15.7409210205,48,12933,3365,28960
15.7410411835,146,110961,5256,28960
16.7577400208,10,-,734136,130320
16.7579162121,10,-,739928,127424
16.758067131,10,-,942648,202720
16.7582139969,10,-,942648,192584
16.7583560944,10,-,926720,227336
16.758493185,10,-,748616,133216
16.7586321831,10,-,722552,127424
16.7587850094,10,-,909344,198376
16.7589221001,48,12933,3365,28960
16.7590591908,146,118705,5496,28960
17.7769172192,10,-,955680,220096
17.7770500183,10,-,828256,222992
17.7771730423,10,-,962920,202720
17.7773051262,10,-,961472,192584
17.7774391174,10,-,980296,227336
17.7775671482,10,-,751512,227336
17.7776930332,10,-,971608,214304
17.7778110504,10,-,984640,198376
17.7779672146,48,12933,3365,28960
17.7780900002,146,126433,5736,28960
18.7960681915,10,-,1064280,220096
18.7962090969,10,-,1068624,222992
18.7963311672,10,-,1002016,202720
18.796446085,10,-,971608,288152
18.7965772152,10,-,1039664,227336
18.796694994,10,-,1090344,227336
18.7968091965,10,-,1038216,214304
18.7969260216,10,-,986088,198376
18.7970230579,10,-,-,-
18.7971432209,48,12933,3365,28960
18.7972621918,32,134145,5976,28960
19.8145270348,10,-,1064280,220096
19.8146731853,10,-,1074416,222992
19.8148300648,10,-,1002016,202720
19.8149690628,10,-,1251072,288152
19.8151061535,10,-,1183016,341728
19.8152441978,10,-,1090344,227336
19.8153831959,10,-,1044008,214304
19.8155210018,10,-,1172880,296840
19.8156402111,1,-,-,-
19.8157851696,48,12933,3365,28960
19.8159120083,35,142065,6216,28960
20.8338429928,10,-,1064280,220096
20.8339920044,10,-,1074416,222992
20.8341231346,10,-,1358224,304080
20.8343222141,10,-,1361120,288152
20.8344790936,10,-,1219216,341728
20.8346471786,10,-,1090344,227336
20.8347761631,10,-,1044008,214304
20.8348932266,10,-,1284376,296840
20.8350000381,1,-,-,-
20.8351230621,48,12933,3365,28960
20.8352479935,45,150017,6456,28960
21.8523139954,10,-,1330712,330144
21.8524491787,10,-,1074416,222992
21.8525710106,10,-,1368360,304080
21.8526952267,10,-,1385736,288152
21.8528170586,10,-,1345192,341728
21.8529391289,10,-,1090344,227336
21.8530631065,10,-,1229352,321456
21.8531939983,10,-,1421936,296840
21.8533120155,48,12933,3365,28960
21.8534312248,50,157969,6696,28960
22.8708531857,10,-,1392976,330144
22.8710041046,10,-,1339400,334488
22.8711571693,10,-,1440760,304080
22.8712930679,10,-,1397320,288152
22.8714261055,10,-,1439312,341728
22.8715660572,10,-,1248176,341728
22.8717060089,10,-,1417592,321456
22.8718490601,10,-,1423384,296840
22.8719880581,48,12933,3365,28960
22.8721160889,57,165713,6936,28960
23.8900520802,10,-,1558048,330144
23.8902029991,10,-,1575424,334488
23.8903491497,10,-,1455240,304080
23.8904850483,10,-,1406008,430056
23.8906161785,10,-,1550808,341728
23.8907620907,10,-,1595696,341728
23.8908970356,10,-,1517504,321456
23.8910360336,10,-,1424832,296840
23.8911750317,48,12933,3365,28960
23.891313076,67,173425,7176,28960
24.9082221985,10,-,1558048,330144
24.9083662033,10,-,1575424,334488
24.9085171223,10,-,1552256,453224
24.9086592197,10,-,1837512,430056
24.9088129997,10,-,1723120,519832
24.9089550972,10,-,1595696,341728
24.9090881348,10,-,1524744,321456
24.909222126,10,-,1741944,438744
24.909373045,48,12933,3365,28960
24.909509182,72,181153,7416,28960
25.9266371727,10,-,1558048,330144
25.926789999,10,-,1575424,334488
25.9269170761,10,-,1988104,453224
25.92704916,10,-,1989552,430056
25.9271872044,10,-,1866472,519832
25.9273180962,10,-,1595696,341728
25.9274351597,10,-,1524744,321456
25.9275591373,10,-,1878056,438744
25.9276881218,48,12933,3365,28960
25.9278011322,8,188913,7656,28960
26.9445981979,10,-,1917152,495216
26.9447221756,10,-,1575424,334488
26.9448521137,10,-,2004032,453224
26.9449691772,10,-,2014168,430056
26.9450881481,10,-,1966384,519832
26.9452061653,10,-,1597144,341728
26.9453141689,10,-,1792624,480736
26.9454321861,10,-,2083672,438744
26.9455521107,48,12933,3365,28960
26.9456641674,18,196641,7896,28960
27.9628682137,10,-,1991000,495216
27.9630270004,10,-,1575424,334488
27.9631671906,10,-,2004032,453224
