Server 15
elapsed,portnumber,cwnd,ssthresh,rtt
0.871240854263,5001,60,51,362.863/11.995
0.872511863708,5001,37,30,371.314/25.432
0.872820854187,5001,37,30,360.602/16.977
0.873111963272,5001,38,30,363.582/8.522
0.873391866684,5001,60,51,376.932/25.962
2.89662194252,5001,73,51,630.328/7.625
2.8979408741,5001,45,30,637.99/13.176
2.89822888374,5001,45,30,641.242/13.617
2.89854979515,5001,45,30,642.898/21.958
2.89883995056,5001,72,51,630.339/11.671
4.92217993736,5001,90,51,859.508/78.252
4.92354893684,5001,76,30,900.549/89.622
4.92384290695,5001,79,30,929.324/57.043
4.92415881157,5001,81,30,931.646/47.683
4.92444396019,5001,91,51,898.935/83.989
6.94773483276,5001,162,51,1401.37/50.672
6.94905090332,5001,139,30,1386.25/66.322
6.94936490059,5001,136,30,1387.22/67.605
6.9496588707,5001,136,30,1377.61/66.636
6.94994783401,5001,161,51,1454.04/29.665
8.97267889977,5001,234,51,2249.92/13.851
8.97394585609,5001,206,30,2208.67/69.655
8.97425699234,5001,198,30,2105.69/77.051
8.97454190254,5001,198,30,2137.84/88.038
8.97484087944,5001,188,51,2060.99/232.694
10.9975268841,5001,255,51,2606.5/271.426
10.9987800121,5001,229,30,2844.22/41.637
10.9990170002,5001,256,30,2862.22/16.404
10.9992599487,5001,253,30,2858.03/14.964
10.9994938374,5001,274,51,2795.5/57.143
13.0208349228,5001,370,51,3467.92/111.332
13.0219378471,5001,312,30,3290.03/122.082
13.0221848488,5001,311,30,3417.9/157.609
13.0224239826,5001,306,30,3307.81/140.638
13.0226609707,5001,375,51,3531.96/40.242
15.0460188389,5001,382,51,3911.68/289.579
15.0472118855,5001,334,30,4138.55/121.546
15.0475058556,5001,355,30,4172.52/31.575
15.0478188992,5001,367,30,4012.23/55.87
15.0481059551,5001,408,51,4026.38/185.752
17.0701467991,5001,494,51,4932.73/25.797
17.0712139606,5001,454,30,4799.92/94.94
17.0714559555,5001,445,30,4707.21/128.564
17.0717380047,5001,441,30,4783.55/162.442
17.0719759464,5001,422,51,4731.45/249.415
19.0951559544,5001,562,51,5364.53/213.547
19.0964620113,5001,467,30,5087.17/245.782
19.0967669487,5001,467,30,5208.55/289.324
19.0970590115,5001,454,30,5038.74/196.884
19.0973558426,5001,569,51,5405.35/149.672
21.1210868359,5001,566,51,5555.49/314.022
21.1220870018,5001,504,30,5832.05/58.075
21.1223988533,5001,560,30,5902.01/20.35
21.1226868629,5001,552,30,5902.22/57.722
21.1229889393,5001,613,51,5807.9/53.49
23.1453700066,5001,623,51,6603.7/55
23.1464397907,5001,647,30,6573.68/96.447
23.1466879845,5001,653,30,6426.83/118.545
23.1469190121,5001,649,30,6463.01/244.417
23.1471610069,5001,619,51,6007.05/347.92
25.1686308384,5001,805,51,7271.92/175.057
25.1701998711,5001,687,30,6962.39/257.194
25.1704418659,5001,668,30,6790.07/655.22
25.1707029343,5001,673,30,7141.7/411.11
25.1709399223,5001,744,51,7373.61/24.596
27.1934769154,5001,832,51,7625.51/236.516
27.1947889328,5001,699,30,7221.93/493.101
27.1950778961,5001,700,30,7534.48/344.631
27.1953790188,5001,675,30,7227.56/381.991
27.1956908703,5001,842,51,7679.81/135.468
29.2180469036,5001,842,51,7782.02/490.406
29.2195899487,5001,730,30,8449.46/366.158
29.2198569775,5001,708,30,8685.69/505.374
29.2201118469,5001,731,30,8946.32/13.409
29.2203688622,5001,881,51,8749.59/122.741
31.2420079708,5001,869,51,9424.6/701.343
31.2431268692,5001,791,30,9719.04/53.576
31.2433919907,5001,861,30,9646.2/46.123
31.2436728477,5001,858,30,9700.69/108.522
31.2439320087,5001,906,51,9290.62/132.993
33.2659888268,5001,921,51,10353.7/61.391
33.2672519684,5001,926,30,10349.9/73.423
33.2675700188,5001,975,30,10338.4/94.42
33.2678759098,5001,938,30,10225.9/228.392
33.2681717873,5001,928,51,9834.62/537.46
35.2905938625,5001,1180,51,10716.7/78.156
35.2918288708,5001,1031,30,10695.9/158.81
35.2921369076,5001,988,30,10496.5/169.347
35.2924330235,5001,985,30,10582.2/135.107
35.2927429676,5001,971,51,10734.6/65.108
37.314912796,5001,1237,51,11117.2/116.617
37.3160319328,5001,1046,30,10873.7/269.792
37.3163018227,5001,1045,30,11099.3/200.801
37.3165488243,5001,1009,30,10917.7/111.969
37.3168158531,5001,1262,51,11167.6/76.641
39.3381519318,5001,1248,51,11248.2/201.938
39.3399028778,5001,1046,30,10873.7/269.792
39.3401589394,5001,1050,30,11220.2/305.229
39.3404037952,5001,1009,30,10917.7/111.969
39.340651989,5001,1265,51,11424.6/457.486
41.3630769253,5001,1874,51,2946.51/584.451
41.3643798828,5001,1109,30,884.386/952.331
41.3646810055,5001,1574,30,2486.11/1039.4
41.3649818897,5001,1512,30,5468.42/646.17
41.3652789593,5001,1408,51,2963.05/353.78
43.3871278763,5001,1874,51,2946.51/584.451
43.3880858421,5001,1109,30,884.386/952.331
43.3884057999,5001,1574,30,2486.11/1039.4
43.3887038231,5001,1512,30,5468.42/646.17
43.3889918327,5001,1408,51,2963.05/353.78
45.4119048119,5001,956,1312,4465.29/80.461
45.4130189419,5001,127,782,4463.43/90.087
45.4132959843,5001,429,1102,4471.72/84.869
45.4135558605,5001,195,1058,4473.45/89.713
45.413820982,5001,526,985,4473.8/86.111
47.4368579388,5001,377,1312,4339.48/339.017
