elapsed,portnumber,cwnd,ssthresh,rtt
0.878178119659,5001,39,30,317.75/3.799
0.878538131714,5001,38,30,349.591/20.25
0.878826141357,5001,38,30,338.462/14.927
0.87909412384,5001,40,30,334.094/16.925
0.879441022873,5001,39,30,316.059/18.597
2.90796613693,5001,48,30,571.364/9.913
2.90828108788,5001,47,30,553.496/12.966
2.90855693817,5001,47,30,553.591/14.124
2.90881896019,5001,48,30,561.837/12.239
2.90912795067,5001,48,30,565.253/8.407
4.93841099739,5001,73,30,750.524/46.72
4.93878102303,5001,76,30,807.965/56.087
4.93908405304,5001,80,30,849.236/48.972
4.93939614296,5001,71,30,766.111/84.277
4.93975496292,5001,74,30,787.996/66.41
6.96705698967,5001,148,30,1466.92/31.928
6.96738910675,5001,128,30,1503.99/59.24
6.96767401695,5001,123,30,1318.12/143.024
6.96792507172,5001,137,30,1420.92/46.232
6.96823310852,5001,149,30,1508.84/31.057
8.99666500092,5001,205,30,2218.02/28.119
8.9970331192,5001,178,30,1966.34/117.856
8.99735212326,5001,182,30,2009.51/223.451
8.9976670742,5001,205,30,2166.12/72.194
8.99802899361,5001,192,30,2218.66/20.215
11.0271630287,5001,234,30,2456.95/161.748
11.0275490284,5001,247,30,2601.39/107.816
11.0278520584,5001,259,30,2653.65/66.621
11.0281460285,5001,227,30,2641.83/127.338
11.0285041332,5001,237,30,2466.73/109.058
13.05823493,5001,342,30,3433.04/70.578
13.0585579872,5001,333,30,3511.9/12.256
13.0588181019,5001,276,30,3065.67/183.388
13.0590679646,5001,316,30,3450.03/91.153
13.0593819618,5001,341,30,3446.63/54.933
15.0862720013,5001,349,30,3696.76/318.359
15.0866029263,5001,368,30,3850.85/136.892
15.0868570805,5001,388,30,3925.13/155.152
15.0871150494,5001,339,30,3805.28/208.139
15.0874321461,5001,355,30,3673.16/175.452
17.116186142,5001,436,30,4971.81/26.078
17.1165540218,5001,401,30,4572.4/181.945
17.116863966,5001,409,30,4774.68/305.432
17.1171629429,5001,458,30,4904.47/151.011
17.1175119877,5001,410,30,5013.26/27.149
19.1462600231,5001,516,30,5443.77/144.55
19.1466441154,5001,523,30,5546.55/76.78
19.1469800472,5001,471,30,5666.1/11.387
19.1472780704,5001,492,30,5545.67/53.168
19.1476371288,5001,518,30,5457.59/159.218
21.1754789352,5001,521,30,5736.3/647.63
21.175786972,5001,550,30,5946.35/184.565
21.17603302,5001,574,30,6030.06/166.145
21.1762719154,5001,504,30,5905.99/248.012
21.1765930653,5001,532,30,5712.45/301.075
23.2057759762,5001,544,30,6922.38/90.962
23.2061750889,5001,600,30,6804.41/183.774
23.2064681053,5001,588,30,6629.25/369.738
23.2067761421,5001,622,30,6987.8/19.287
23.2071430683,5001,535,30,6307.01/965.457
25.2348530293,5001,728,30,7616.2/59.133
25.2351720333,5001,600,30,6804.41/183.774
25.2354259491,5001,613,30,7385.75/241.853
25.235669136,5001,687,30,7399.44/163.457
25.2359619141,5001,682,30,7605.48/64.717
27.264193058,5001,771,30,8069.91/305.49
27.2645750046,5001,778,30,8235.48/65.085
27.2648749352,5001,644,30,8323.27/99.52
27.2651741505,5001,734,30,8325.67/103.413
27.265542984,5001,768,30,8087.31/184.768
29.293915987,5001,775,30,8283/539.416
29.2942321301,5001,815,30,8738.43/338.072
29.2944879532,5001,847,30,8778.01/116.252
29.2947380543,5001,744,30,8587.85/128.24
29.2950561047,5001,796,30,8670.09/449.563
31.3221380711,5001,777,30,8714.11/734.368
31.3224840164,5001,822,30,8881.07/205.123
31.322756052,5001,860,30,8950.11/292.303
31.3230149746,5001,746,30,8768.96/279.228
31.3233289719,5001,796,30,8670.09/449.563
33.3524849415,5001,814,30,10177.6/142.297
33.3528540134,5001,895,30,9900.33/400.031
33.3531429768,5001,880,30,9683.92/432.157
33.3534610271,5001,893,30,10169.1/30.329
33.3539309502,5001,797,30,9031.61/1060.2
35.3826711178,5001,976,30,10701.8/45.24
35.383038044,5001,895,30,9900.33/400.031
35.3833510876,5001,911,30,10439.8/539.152
35.3836519718,5001,1021,30,10638.5/290.237
35.3840301037,5001,906,30,10756.2/21.672
37.4115099907,5001,1113,30,11282.5/57.91
37.4118311405,5001,981,30,11315.7/60.842
37.4121050835,5001,915,30,10642/528.593
37.4123549461,5001,1030,30,10916.5/378.048
37.4126801491,5001,1118,30,11328.8/59.378
39.4409189224,5001,1137,30,11547.5/356.062
39.4412879944,5001,1169,30,11775.9/85.256
39.4415769577,5001,1022,30,11872.7/14.298
39.4419360161,5001,1101,30,11730.5/45.995
39.4422991276,5001,1156,30,11662.8/207.039
41.4696691036,5001,1137,30,11547.5/356.062
41.4699931145,5001,1203,30,12159.7/425.662
41.4702551365,5001,1265,30,12292/119.93
41.4705190659,5001,1115,30,12024.8/173.785
41.4708399773,5001,1189,30,11872.4/112.932
43.499628067,5001,1162,30,12109.3/925.844
43.4999959469,5001,1233,30,12586.1/422.314
43.5003190041,5001,1289,30,12632.7/385.903
43.5006129742,5001,1115,30,12024.8/173.785
43.5009801388,5001,1194,30,12160.4/477.174
45.5279979706,5001,1164,30,12529.6/840.92
45.5283191204,5001,1241,30,13486.7/534.711
45.5285689831,5001,1289,30,12632.7/385.903
45.528824091,5001,1115,30,12024.8/173.785
45.5291531086,5001,1196,30,12798.9/983.532
47.5566160679,5001,1183,30,13891/707.019
47.556937933,5001,1342,30,14108.2/315.872
47.5571990013,5001,1312,30,13643.7/686.485
47.5574600697,5001,1320,30,14285.4/84.025
47.5577890873,5001,1196,30,12798.9/983.532
49.5857460499,5001,1341,30,14900.1/73.942
49.5861010551,5001,1342,30,14108.2/315.872
49.5864059925,5001,1338,30,14578.8/655.412
49.5866990089,5001,1458,30,14673/185.918
49.5870790482,5001,1301,30,14917/124.05
51.6141700745,5001,1569,30,15527.3/76.738
51.6144850254,5001,1342,30,14108.2/315.872
51.6147429943,5001,1370,30,15125.3/603.207
51.6149771214,5001,1540,30,15220.6/261.729
51.6152861118,5001,1442,30,15532.4/122.486
53.6416199207,5001,1704,30,15118.5/251.638
53.6419420242,5001,1849,30,11751.8/604.997
53.6421859264,5001,1933,30,10793.4/443.594
53.6424369812,5001,1668,30,13191.5/355.36
53.6427500248,5001,1759,30,13088.5/543.502
55.6711421013,5001,1704,30,15118.5/251.638
55.6715140343,5001,1849,30,11751.8/604.997
55.6717989445,5001,1933,30,10793.4/443.594
55.6720910072,5001,1668,30,13191.5/355.36
55.6724419594,5001,1759,30,13088.5/543.502
57.7001481056,5001,2019,30,10571.6/1886.13
57.7004680634,5001,1849,30,11751.8/604.997
57.7007269859,5001,1933,30,10793.4/443.594
57.7009871006,5001,1668,30,13191.5/355.36
57.701308012,5001,1976,30,7479.4/109.269
59.7296299934,5001,2114,30,8952.79/26.431
59.7299640179,5001,1849,30,11751.8/604.997
59.7302160263,5001,1933,30,10793.4/443.594
59.7304699421,5001,2200,30,9916.96/1553.36
59.7308030128,5001,1976,30,7580.06/283.277
61.7591650486,5001,2114,30,8952.79/26.431
61.7595350742,5001,1849,30,11751.8/604.997
61.7598180771,5001,2047,30,11188.2/13.469
61.7601380348,5001,2200,30,11021.3/145.253
61.7605221272,5001,2009,30,11137.1/111.491
63.7879059315,5001,2114,30,9992.5/167.524
63.7882311344,5001,2015,30,11431.9/1752.59
63.7884969711,5001,2055,30,10947.5/73.443
63.7887599468,5001,2200,30,11114.1/71.369
63.7890751362,5001,2023,30,10216.4/155.615
65.8170681,5001,2152,30,10374.2/741.169
65.8174300194,5001,1531,1440,12598.4/40.867
65.8177161217,5001,1638,1438,12628.9/28.476
65.8180000782,5001,1809,1540,12186.1/86.429
65.8183429241,5001,1517,1518,11707.7/477.318
67.8467690945,5001,803,1506,8698.53/25.548
67.8471560478,5001,697,1440,12651.3/112.998
67.8474879265,5001,1438,1438,12695.9/112.311
67.8477981091,5001,1725,1540,8728.3/67.364
67.8481919765,5001,927,1518,10138.1/556.075
69.8755340576,5001,255,1506,7676/263.635
69.8758869171,5001,1440,1440,6055.11/255.871
69.8761730194,5001,1161,1438,7649.8/986.533
69.8764390945,5001,355,1540,6652.93/5.569
69.8767709732,5001,347,1518,5482.18/364.974
71.9047629833,5001,255,1506,7676/263.635
71.9051699638,5001,1440,1440,6475.4/32.504
71.9054849148,5001,1161,1438,6490.86/15.615
71.9058439732,5001,1540,1540,6464.48/9.932
71.9067590237,5001,1518,1518,5554.43/344.142
73.9357209206,5001,1506,1506,5540.44/94.247
73.9361269474,5001,1440,1440,6570.89/14.989
73.9364459515,5001,274,1438,6539.8/104.028
73.936756134,5001,1540,1540,5024.94/20.001
73.9371480942,5001,1518,1518,4897.61/153.941
75.9646370411,5001,1506,1506,5540.44/94.247
75.9649689198,5001,1440,1440,6492.03/32.677
75.9652540684,5001,274,1438,6539.8/104.028
75.9655370712,5001,1540,1540,6344.36/5.359
75.9659149647,5001,1518,1518,6409.04/19.904
77.9938240051,5001,1506,1506,6038.78/916.79
77.9941630363,5001,1440,1440,7914.63/27.458
77.9944500923,5001,274,1438,6539.8/104.028
77.9947080612,5001,1540,1540,6344.36/5.359
77.9950430393,5001,1518,1518,7376.49/323.901
80.0218141079,5001,1506,1506,6038.78/916.79
80.0221600533,5001,1440,1440,8086.54/364.418
80.0224311352,5001,1171,1438,7152.24/1119.94
80.022701025,5001,1540,1540,6344.36/5.359
80.0230250359,5001,1518,1518,7376.49/323.901
82.0515389442,5001,1506,1506,6038.78/916.79
82.0519299507,5001,1440,1440,8086.54/364.418
82.0522470474,5001,1438,1438,7519.21/1573.89
82.0525479317,5001,1540,1540,6344.36/5.359
82.0530059338,5001,1518,1518,7376.49/323.901
84.0804769993,5001,1506,1506,6038.78/916.79
84.0808291435,5001,1440,1440,8715.27/1530.77
84.0810871124,5001,1438,1438,9087.35/2149.84
84.0813541412,5001,1540,1540,6873.46/1062.22
84.0817189217,5001,1518,1518,7376.49/323.901
86.1105420589,5001,1506,1506,7735.97/3327.6
86.1109089851,5001,1440,1440,8715.27/1530.77
86.1112289429,5001,1438,1438,9087.35/2149.84
86.1115131378,5001,1540,1540,6873.46/1062.22
86.1126580238,5001,1518,1518,8723.9/2161.64
88.1408240795,5001,1547,1506,14775.7/87.312
88.1411669254,5001,1440,1440,8715.27/1530.77
88.1414470673,5001,1441,1438,11484.9/3227.6
88.141726017,5001,1546,1540,9114.52/3717.91
88.1420760155,5001,1518,1518,10356.3/3266.93
90.1702890396,5001,1620,1506,14822.4/158.903
90.1706709862,5001,1440,1440,9297.22/2311.97
90.1710031033,5001,1441,1438,11484.9/3227.6
90.1712949276,5001,1823,1540,14744.2/37.354
90.1716880798,5001,1518,1518,10356.3/3266.93
92.2009549141,5001,1621,1506,14483/226.467
92.2013280392,5001,1491,1440,15241.4/30.173
92.2016999722,5001,1441,1438,11484.9/3227.6
92.2021350861,5001,1978,1540,14865/269.733
92.2026479244,5001,1518,1518,10356.3/3266.93
94.2305750847,5001,1621,1506,14483/226.467
94.2308990955,5001,1768,1440,15918.4/245.169
94.2311761379,5001,1444,1438,13127.7/3202.34
94.2314250469,5001,1978,1540,14865/269.733
94.2317631245,5001,1518,1518,10356.3/3266.93
96.2595250607,5001,1621,1506,14483/226.467
96.2599189281,5001,1768,1440,15918.4/245.169
96.2602419853,5001,1854,1438,14804.5/2062.66
96.2605531216,5001,1978,1540,14865/269.733
96.2609260082,5001,1518,1518,10356.3/3266.93
98.2905550003,5001,1621,1506,14483/226.467
98.2909390926,5001,1768,1440,15918.4/245.169
98.2912609577,5001,1854,1438,14804.5/2062.66
98.2915711403,5001,1978,1540,14865/269.733
98.2919559479,5001,1518,1518,10356.3/3266.93
100.319590092,5001,1621,1506,14483/226.467
100.319945097,5001,1768,1440,15918.4/245.169
100.32020998,5001,1888,1438,16950.2/219.272
100.320472002,5001,1978,1540,14865/269.733
100.320800066,5001,1518,1518,10356.3/3266.93
102.35000515,5001,1621,1506,14483/226.467
102.350404024,5001,1768,1440,15918.4/245.169
102.350723982,5001,1888,1438,16950.2/219.272
102.351046085,5001,1978,1540,14865/269.733
102.351433992,5001,1518,1518,10356.3/3266.93
104.380932093,5001,1621,1506,14483/226.467
104.381313086,5001,1768,1440,15918.4/245.169
104.381622076,5001,1888,1438,16950.2/219.272
104.382045031,5001,1978,1540,14865/269.733
104.382429123,5001,1518,1518,10356.3/3266.93
106.40981102,5001,1621,1506,14483/226.467
106.410145044,5001,1768,1440,15918.4/245.169
106.410434961,5001,1888,1438,16950.2/219.272
106.410696983,5001,1978,1540,14865/269.733
106.411044121,5001,1518,1518,10356.3/3266.93
108.438467979,5001,1621,1506,14483/226.467
108.438812017,5001,1768,1440,15918.4/245.169
108.439083099,5001,1888,1438,16950.2/219.272
108.439342022,5001,1978,1540,14865/269.733
108.439681053,5001,1518,1518,10356.3/3266.93
110.468265057,5001,1621,1506,14483/226.467
110.468665123,5001,1768,1440,15918.4/245.169
110.468986988,5001,1888,1438,16950.2/219.272
110.46928215,5001,1978,1540,14865/269.733
110.469695091,5001,1518,1518,10356.3/3266.93
112.498300076,5001,1621,1506,14483/226.467
112.498637915,5001,1768,1440,15918.4/245.169
112.498907089,5001,1888,1438,16950.2/219.272
112.499166012,5001,1978,1540,14865/269.733
112.499499083,5001,1518,1518,10356.3/3266.93
114.525948048,5001,1621,1506,14483/226.467
114.526267052,5001,1768,1440,15918.4/245.169
114.526533127,5001,1888,1438,16950.2/219.272
114.526793003,5001,1978,1540,14865/269.733
114.527115107,5001,1518,1518,10356.3/3266.93
116.555753946,5001,1621,1506,14483/226.467
116.556143999,5001,1768,1440,15918.4/245.169
116.55645895,5001,1888,1438,16950.2/219.272
116.556772947,5001,1978,1540,14865/269.733
116.557160139,5001,1518,1518,10356.3/3266.93
118.584813118,5001,1621,1506,14483/226.467
118.585159063,5001,1768,1440,15918.4/245.169
118.585430145,5001,1888,1438,16950.2/219.272
118.585716009,5001,1978,1540,14865/269.733
118.586059093,5001,1518,1518,10356.3/3266.93
120.613301992,5001,1621,1506,14483/226.467
120.613673925,5001,1768,1440,15918.4/245.169
120.613933086,5001,1888,1438,16950.2/219.272
120.614198923,5001,1978,1540,14865/269.733
120.614522934,5001,1518,1518,10356.3/3266.93
